<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
200923;000000;226.01;230.28;225.46;229.88;66529120
200924;000000;230.05;232.1;227.61;228.5;71209480
200925;000000;227.7;231.1;225.75;228.17;81830090
200926;000000;229.01;229.3;226.25;228.24;60095930
200929;000000;228.79;229.55;227.35;228.63;64238440
200930;000000;228.85;228.85;223.1;225.48;90380110
201001;000000;224.44;230.75;223.25;229.14;78547070
201002;000000;229.14;229.9;226.86;227.23;77695460
201003;000000;210.4;211.39;206.5;208.8;113333260
201006;000000;209.6;210.69;207.72;208.89;45503950
201007;000000;209;212.99;208.35;211.18;87494140
201008;000000;211.31;212.66;209.03;210.6;61938560
201009;000000;211.21;211.43;207.26;207.97;49386720
201010;000000;208.46;208.96;204.4;205.38;65464660
201013;000000;205.97;208.49;204.57;206.18;52059840
201014;000000;205.92;207.64;204.77;205.03;45995460
201015;000000;205.13;208;204.78;207.83;46800230
201016;000000;207.45;207.57;201.95;203.85;76453110
201017;000000;204.01;204.25;200.5;201.17;66207070
201020;000000;201.59;204;201.59;202.78;47388190
201021;000000;203;209.76;202.5;209.54;80894090
201022;000000;210.04;213.25;208.9;210.33;82434060
201023;000000;209.58;211.53;207.84;210.21;46737620
201024;000000;210;214.73;209.15;214.5;75208650
201027;000000;213.4;214.45;210.5;211.1;58821670
201028;000000;211.5;212.29;206.66;207.64;61053270
201029;000000;206.91;206.94;202.3;204.73;70128700
201030;000000;206.51;207.33;203.64;205.58;91297990
201031;000000;203.66;204.84;200.61;200.99;83424060
201103;000000;200.44;204.59;196.15;204.5;82202910
201104;000000;205.7;211.11;203.8;209.2;90250210
201106;000000;214.4;218.65;211.43;216.7;152059160
201107;000000;215.8;218.29;213;217.5;94928190
201110;000000;220;231.3;218.7;228.05;217217210
201111;000000;227.18;237.6;226.27;236.1;229431100
201112;000000;237;245.98;236.89;244.2;234734740
201113;000000;243.31;245.72;240.22;242.08;151362110
201114;000000;242.01;244.14;238.62;242.99;106127700
201117;000000;244.14;248.73;244;247.99;113715900
201118;000000;247.99;249.84;243.41;245.7;94861740
201119;000000;245.07;247.23;242.59;242.71;60036860
201120;000000;242.5;243.49;237.34;240.27;96933550
201121;000000;239.7;240.77;236.57;239.42;48707710
201124;000000;240.46;243.87;238.52;239.7;74750590
201125;000000;241.51;247.85;239.57;247.33;84391720
201126;000000;247.95;252.2;246.55;251.91;133279720
201127;000000;252.2;252.88;247.44;250.1;79802600
201128;000000;250.31;252.26;248.03;251.59;51413850
201201;000000;249.72;251;245.98;249.63;112040430
201202;000000;250.71;260.99;249.8;260.81;132045800
201203;000000;260.05;264.99;258.8;264.06;93270290
201204;000000;264.49;264.63;260.85;263.14;62219970
201205;000000;264.65;270.84;264.5;270;94546040
201208;000000;269.2;276.13;268.1;274.36;94682100
201209;000000;274.44;276.66;271.52;275.49;78823270
201210;000000;276.19;279.42;275.87;276.89;73606600
201211;000000;276.7;282.2;275.2;282.2;75547130
201212;000000;282.5;284.6;279.78;283.73;76031520
201215;000000;285.02;287.74;277.1;279.95;90216400
201216;000000;278.53;283.76;276.07;278.7;84170420
201217;000000;278;280.84;276.14;278.35;54712610
201218;000000;279.84;285.16;276.54;278.5;92056470
201219;000000;277.4;277.4;268.52;270.16;99129600
201222;000000;266.4;267.34;259.7;261.79;120329330
201223;000000;259.55;267.42;257.05;262.04;105345250
201224;000000;262.2;270.29;260.22;270.1;67880370
201225;000000;271.9;272.82;267.13;269.32;42447420
201226;000000;269.93;271;268.28;270.64;11978340
201229;000000;270.89;275.19;269.73;274.7;38838530
201230;000000;275.91;276.43;271.26;272;38984890
201231;000000;272.5;274.24;270.12;271.65;31509500
210105;000000;274.67;276.6;270.61;272;48799460
210106;000000;272.67;275.7;270.28;275.2;45554100
210107;000000;275.9;275.92;271.62;272.93;40905340
210109;000000;275.11;283.99;275.11;283.64;88672940
210112;000000;282.75;292.95;279.48;289.49;112210400
210113;000000;290.5;296.07;286.7;289.99;78890100
210114;000000;291.01;292.46;283.1;283.78;67489780
210115;000000;284;286.9;279.06;284.79;74616910
210116;000000;282.55;286.16;276;276.9;73687110
210119;000000;275.73;281.3;272.95;279.79;73676310
210120;000000;280.98;282.8;276.42;278.19;55682850
210121;000000;278.63;282.49;276.77;279.8;47858610
210122;000000;280.78;281.54;272.84;274.4;83765230
210123;000000;273;273.3;266.78;268.25;86899970
210126;000000;270.54;273.63;261.65;265.3;114068450
210127;000000;262.9;269.57;262.61;269.34;75094890
210128;000000;270.07;273.8;265.02;265.5;100046360
210129;000000;263.5;267.17;261.17;265.96;81088040
210130;000000;263.92;264.75;257.36;258.11;120025230
210202;000000;260;264.06;258.73;263.8;63050800
210203;000000;265;268.39;263.05;263.15;79360220
210204;000000;264.25;268.14;261.05;263.53;77585700
210205;000000;263.21;270.6;262.34;270.11;78873410
210206;000000;271.99;272.57;268.87;271.7;71697410
210209;000000;273.01;275.58;272.32;275.2;51720410
210210;000000;275.99;276.29;267.19;268.98;91773840
210211;000000;269.28;270.99;265.2;265.9;63033470
210212;000000;265.49;266.9;263.75;264.7;38615960
210213;000000;263.99;266.44;258.55;266;81585980
210216;000000;268.49;271.87;267.07;271.81;56766380
210217;000000;272.31;272.8;268.27;270.9;62992920
210218;000000;270.92;275.07;267.56;270.9;79087080
210219;000000;270.35;272.46;266.21;266.99;58686040
210220;000000;266.12;272.81;264.19;271.34;59193580
210221;000000;271;271;269.02;270.51;8738250
210223;000000;270.37;274.46;268.12;273.71;48095910
210225;000000;272.12;272.75;269.42;271.9;64101830
210226;000000;273.6;276.48;270.65;270.71;79566390
210227;000000;268;272.49;266.43;270.17;74446940
210302;000000;273;274.73;271.13;273.58;35741070
210303;000000;271.89;280;271.6;279.1;71481180
210304;000000;281.7;283.83;277.63;278.01;64113880
210305;000000;278.53;281.96;273.63;274.75;91841080
210306;000000;276.12;278.98;272.76;277.5;83301590
210310;000000;278.71;286.38;277.56;285.79;72592390
210311;000000;285.23;288;281;282.24;55067560
210312;000000;283.86;286.38;282.3;286;47203100
210313;000000;286.3;287.49;282.82;284.93;51362640
210316;000000;286.07;292.92;285.28;292.74;67756210
210317;000000;293.07;293.88;288.61;292.33;53891160
210318;000000;292.38;293.25;279.6;283.35;110247040
210319;000000;284.06;285.79;278.24;279.25;74060790
210320;000000;279;286.31;278.03;285.47;84214320
210323;000000;285;291.2;283.08;288.65;62697960
210324;000000;287.6;288.3;282.11;282.6;70668340
210325;000000;283.3;288;282.25;285.79;46388650
210326;000000;286.33;287.03;283.85;286.66;35114120
210327;000000;288.6;292.75;288.32;291.22;55889260
210330;000000;289.72;294.09;289.26;293.3;43631060
210331;000000;294.6;295.72;291.5;293.25;38637210
210401;000000;294;294.42;290.26;291.02;46972400
210402;000000;292;294.72;288.43;290.24;51532880
210403;000000;290.81;292.4;289.14;291.7;19262050
210406;000000;290.8;291.48;287.07;288.78;35298970
210407;000000;289;289.43;281.37;281.5;77497430
210408;000000;281.66;284.29;278.54;283.98;74087530
210409;000000;284.62;286.2;282.17;283.89;51161440
210410;000000;283.44;283.79;280.09;281.07;40018040
210413;000000;278.21;285.35;278;281.75;57020860
210414;000000;282.9;288.2;281.14;287.95;67878750
210415;000000;290;291.58;286.72;287.18;58993600
210416;000000;281.5;285.19;280.87;283.72;87528200
210417;000000;285.7;289.3;284.08;288.5;63355410
210420;000000;287.9;289.25;286.04;287.72;51231790
210421;000000;288.9;290.92;286.59;287.42;63069010
210422;000000;288.04;290.2;287.06;289.25;49661560
210423;000000;289.04;294.67;286.93;292.18;73621930
210424;000000;293.16;294.2;290.78;293.19;42551750
210427;000000;294.3;296.48;293.1;295.27;45676020
210428;000000;295.74;300.25;295.61;298.5;62822260
210429;000000;298.84;299.26;295.89;298.49;40549200
210430;000000;301.05;301.84;294.79;297.1;56771630
210501;000000;296.92;298.1;295.03;297.73;35662800
210505;000000;298.7;304.23;298.2;303.7;60366580
210506;000000;304.01;306.03;302.71;305.99;41550150
210507;000000;306.29;314.98;306.25;314.72;62553900
210508;000000;316.01;319.16;315.48;317.94;56349650
210511;000000;318.27;320.19;314.31;320.19;59207110
210512;000000;303.05;309.48;301;307.16;79006340
210513;000000;307.4;309.24;302;302.02;56079760
210514;000000;302.15;306.86;299.33;306.74;57632810
210515;000000;308.2;308.24;302.33;304.1;26784400
210518;000000;303.5;305.24;301.01;303.94;28344110
210519;000000;305.04;306.62;303.33;305.78;35434660
210520;000000;304.38;304.88;295.1;297;71633830
210521;000000;297.94;298.37;293;296.72;58479500
210522;000000;296.82;302.98;294.9;301.23;51370530
210525;000000;302.05;304.75;299.59;300.7;30764260
210526;000000;301.78;307.4;301.57;306.8;37526860
210527;000000;307.81;309.5;305.33;307.01;35255410
210528;000000;306.39;313.9;305.72;312.72;70727920
210529;000000;313.3;314;309.06;309.56;35412970
210601;000000;309.3;312.6;308.82;310.79;23651780
210602;000000;312.6;314.17;310.03;311.6;37510420
210603;000000;311.59;314;310.61;313.98;26981700
210604;000000;314.8;315.71;309.87;312.41;34459100
210605;000000;313;313;307.6;310.94;37077640
210608;000000;310.03;316;308.57;315.53;40149880
210609;000000;315.26;316.18;312.5;314.83;34909350
210610;000000;315.01;315.9;312.9;314.78;25115980
210611;000000;314.8;316.58;313.76;314.62;29201370
210612;000000;314.88;315.08;312.5;313;21902100
210615;000000;313.48;314.87;310.4;314.12;25494830
210616;000000;314.13;315.6;312.4;312.51;29704890
210617;000000;312.5;314.54;311.03;311.61;38224960
210618;000000;311;315.42;310.46;313.9;44164540
210619;000000;313.44;313.82;308.13;309.3;62327060
210622;000000;308.45;310.4;306.56;310.4;36086020
210623;000000;310.79;311.17;308.13;309.73;23511320
210624;000000;310.4;312;308.69;309.79;24810790
210625;000000;309.82;311.2;308.84;310;19708450
210626;000000;310.41;312.5;309.82;311.81;22588790
210629;000000;311.76;312.06;309.13;309.48;19409430
210630;000000;308.7;309.23;303.66;306.1;33868700
210701;000000;306.35;306.91;303.34;306.45;31492940
210702;000000;306.19;307.35;305;305.78;19958090
210703;000000;305.59;308.37;304.71;307.39;28893920
210706;000000;307.81;308.11;304.8;307;16481560
210707;000000;307.32;307.59;302.37;303.34;32667720
210708;000000;303.56;306.2;302.85;304.06;22612920
210709;000000;302.99;304.3;300.62;302.63;30696840
210710;000000;302.71;304.1;301.22;303.56;20523480
210713;000000;303.56;306.27;301.52;306.23;25280830
210714;000000;306.85;307.22;302.11;303;21233230
210715;000000;302.7;303.69;300.74;301.5;23920780
210716;000000;301.19;303.5;299.77;301.72;21082200
210717;000000;301.92;304.78;298.57;298.85;34532240
210720;000000;298;298.36;290.03;291.46;41244150
210721;000000;292.34;296.8;292.3;296.1;35564960
210722;000000;296.01;296.94;293.54;294.86;17526680
210723;000000;295.77;298.17;294.43;297.27;20319290
210724;000000;297.5;298.69;295.04;296.38;14959920
210727;000000;293.99;303.68;291.98;303.34;33887060
210728;000000;302.66;304.59;299.38;299.71;38559430
210729;000000;300.48;302.98;300;302.9;26896580
210730;000000;304.14;305.27;303.03;303.12;27950010
210731;000000;302.42;306.67;301.12;305.59;49522680
210803;000000;306.31;308.63;306.06;306.51;31506510
210804;000000;306.31;309.89;306.25;309.89;33788860
210805;000000;310.26;312;309.25;311.1;30666580
210806;000000;311.02;315.91;310.82;315.82;37290300
210807;000000;316.1;320;315.31;319.15;54096400
210810;000000;318.56;328.3;317.62;326.91;71958140
210811;000000;328.05;331.29;326.97;330.11;41507840
210812;000000;330.7;330.98;326.21;329.9;34418000
210813;000000;330;330.64;327.3;328.57;20985080
210814;000000;328.6;330.27;327.31;328.68;18758270
210817;000000;327.56;330.52;327.13;329.36;23916510
210818;000000;329;335.7;328.55;334.5;42463620
210819;000000;336.05;338.99;333.26;334.9;36270350
210820;000000;333.5;334;329.1;332.69;45936410
210821;000000;332.2;333.27;325.17;325.67;36352850
210824;000000;327.85;329.81;326.55;329.22;20539290
210825;000000;330.37;331.22;323.32;324.83;35650540
210826;000000;324.29;325.32;321.26;324.57;28071640
210827;000000;324.03;325.55;320.58;322.54;27463480
210828;000000;323.74;327.5;321.8;327.41;27792410
210831;000000;328.42;329.38;326.51;328.28;20356090
210901;000000;328.54;330.48;327.3;327.94;32440160
210902;000000;328.87;334.64;328.03;334.57;30671130
210903;000000;334.67;334.91;328.77;329;31562590
210904;000000;329.47;330.53;326.62;329.71;29597400
210907;000000;330;331.45;328.5;329.37;17467620
210908;000000;329.82;330.73;324.64;325.96;24443360
210909;000000;325.96;332.74;322.84;331.7;47818530
210910;000000;330.4;330.4;325.69;326.01;29884250
210911;000000;328.01;328.43;325.21;326.25;17390450
210914;000000;327.02;328.14;324.01;327.41;24349520
210915;000000;327.45;328.84;325.48;326.48;22491700
210916;000000;326.46;334.6;326.46;333.51;43810600
210917;000000;333.04;334.5;324.91;326.99;62479270
210918;000000;326.9;331.73;325.7;329.56;54120880
210921;000000;327.01;328.85;325;326.92;31671550
210922;000000;328.44;329.48;322.39;323.25;47704160
210923;000000;325.28;328.9;322.5;327.8;38085450
210924;000000;328.94;329.4;325.13;327.02;27033650
210925;000000;326.08;326.23;323.62;325.44;24552590
210928;000000;326.32;332.46;326.09;331.68;34346920
210929;000000;332.06;334.48;328.32;329.3;52511780
210930;000000;329.09;330.45;327.15;328.43;27597990
211001;000000;329.98;342.2;329.45;340.99;83549930
211002;000000;339.21;339.94;336.08;338.48;37617680
211005;000000;337.81;349.31;336.22;345.85;59987320
211006;000000;346.79;365;344.9;363.2;86810410
211007;000000;366;375.48;359.35;364.28;95588390
211008;000000;367.69;374;365.88;368.93;49466740
211009;000000;369.5;374.55;368;373.01;31010000
211012;000000;375.05;388.11;375;387.6;66555950
211013;000000;385.9;386.86;376.72;377.79;51365340
211014;000000;378.7;380.91;370.81;378.8;54668150
211015;000000;382.02;383.13;374.57;376.09;36290870
211016;000000;377.5;378.41;370.43;371.82;37276570
211019;000000;369.35;369.91;363.75;364.6;38112280
211020;000000;365.68;373.4;361.5;373.18;40008020
211021;000000;371.83;371.97;367.1;370.16;27515020
211022;000000;368.2;371.14;363.2;364.6;24461840
211023;000000;364.06;370.39;362.37;364.37;26322460
211026;000000;366.19;371.7;361.68;369.99;35623260
211027;000000;369.89;374.63;365.66;372.16;41746810
211028;000000;371;374;366.51;371.36;36305740
211029;000000;370.5;374.92;362.32;365.36;53785930
211030;000000;364.33;364.33;352.68;356.14;53476690
211102;000000;356.14;371.47;356.14;370.96;55120560
211103;000000;370.98;374;367.2;370.7;37697650
211104;000000;370;370.5;365.03;370.13;30833580
211106;000000;366.98;367.56;358.5;360.21;39012570
211109;000000;362.59;363.97;355.6;358.39;39658600
211110;000000;358.41;364.58;355.6;357.44;41687090
211111;000000;356.68;358.8;348;348.65;46528570
211112;000000;350.14;357.89;347.22;356.24;42860130
211113;000000;356.24;356.37;339.68;347.59;100664120
211116;000000;348.67;352.8;342.76;344.39;59812240
211117;000000;345.91;346.47;336.01;337.91;61959550
211118;000000;338;343.57;336.6;339.89;49464380
211119;000000;338.9;343.12;333.5;336.93;47108510
211120;000000;339.37;339.99;325.7;327.56;66943180
211123;000000;326.03;326.39;306.67;309.15;144324090
211124;000000;306.28;327.01;300.1;326.84;144820750
211125;000000;328;329.97;317.35;321.22;77871110
211126;000000;322.37;322.96;316.11;317.29;44048010
211127;000000;307.13;312;303.22;304.42;90384610
211130;000000;311.14;322.15;309.42;316.57;82133140
211201;000000;311;318.58;310.09;315;98128940
211202;000000;321.35;329.44;319.51;324.4;69783520
211203;000000;325.21;329;320.54;326.8;61404320
211204;000000;327.6;328.95;318.4;320.66;43075790
211207;000000;322;324.16;304.18;307.5;99674420
211208;000000;307.5;313.03;300.5;309.79;154149090
211209;000000;310.97;316.88;291.57;296.95;241030570
211210;000000;297.49;304.94;292.5;300.4;133927110
211211;000000;300.41;304.28;294.43;297.44;82043690
211214;000000;298.28;300.99;280.08;280.64;146306320
211215;000000;280.21;286.09;261.5;284.9;176473700
211216;000000;285;287.79;279.44;286.65;87516430
211217;000000;287.75;298.7;286.2;295.89;134776020
211218;000000;295;296.73;291.61;294.9;109764650
211221;000000;293.11;293.11;285.63;288.4;79622500
211222;000000;289.8;293.4;286.76;291.7;64919700
211223;000000;291.83;297.23;289.23;294;63855050
211224;000000;294.68;298.1;291.26;292.8;55531330
211225;000000;293;294.18;289;293.89;37669750
211228;000000;294.79;296;293.37;295.68;35728530
211229;000000;295.84;297.55;294.18;295;37853360
211230;000000;295.05;295.55;291.33;293.51;37668260
211231;000000;293.61;294.89;291.52;293.49;42566850
220104;000000;295.9;305.5;294.34;305.47;50156260
220105;000000;305.51;310.1;301.63;304.24;53268220
220106;000000;303.56;304.26;287;287.01;70015940
220107;000000;286.86;295.1;281;293.92;79329410
220111;000000;295.53;298.88;288.68;291.69;67393720
220112;000000;292.93;293.94;288.71;291.88;58894910
220113;000000;292.5;292.92;285.05;290.4;81815210
220114;000000;289.69;290.37;269.9;272.5;211547650
220115;000000;272.39;277.98;249.2;261;406232780
220118;000000;262.2;264.01;247;257.78;248613210
220119;000000;258.8;259.39;228.09;234.7;484049150
220120;000000;232.89;249;221.03;244.86;360884470
220121;000000;244.12;263;240.01;254.61;329059220
220122;000000;252.98;259.08;246;246.9;295614320
220125;000000;246.51;249.88;226;236.97;325615680
220126;000000;236.99;243.55;231;239.59;232503340
220127;000000;240.06;245.17;233.3;236.9;224800440
220128;000000;234.99;260;233.1;254.29;301187890
220129;000000;255.86;262;252.02;257.82;204153960
220201;000000;258.88;269.6;258.81;269.42;156087540
220202;000000;269.71;273.1;260.56;264.7;170357700
220203;000000;265.8;266.91;254.52;261;170198890
220204;000000;258.45;259.87;250.06;250.79;151127560
220205;000000;251.99;259.74;251.91;256.53;126990670
220208;000000;257;260.53;253.52;257.61;85547520
220209;000000;257.61;269.9;256.52;269.8;161498400
220210;000000;270.01;279.71;270;279.09;193232800
220211;000000;279.21;282.3;273.67;275.2;180119880
220212;000000;274.88;275.87;259.61;260.83;213783420
220215;000000;256.69;259.5;245.1;256.7;357398630
220216;000000;257.6;274;257.51;274;271473810
220217;000000;276.88;281;274.15;277.78;195684110
220218;000000;277;277;259.36;260.58;262060710
220219;000000;262.14;267;245;250.28;270538090
220222;000000;249.12;258.32;184.3;201;1084339130
220223;000000;198.72;219.9;182.03;208.53;945941710
220225;000000;186.58;187.54;89.59;132.18;828329350
220226;000000;123.75;152.89;115.11;131.12;396287150
220325;000000;131;156.2;130.15;136.24;153705270
220326;000000;137.1;147;128.2;131.5;57307510
220329;000000;130.6;131.47;125;125;32756540
220330;000000;126.19;137.57;122;128.77;72242360
